Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2023,SD,COW,all coal products,5.14,1562.74207,0.31,17.95756,40.5,2.1,25.91598497121153,11491.058150114306,29.692652803833035,95,1343.7918133220794,0.019285714285714285
2023,TX,NUC,nuclear,,40679.87,,425.17591,250.2,,6.150462132745262,10451.751935293794,32.64524475057865,0,,0.0
2023,ME,PET,petroleum,,67.15373,0.43,1.41782,17.1,12.3,254.63961569967896,21113.04911879057,16.160621712206062,73,183161.82883661118,0.0013902439024390243
2023,IL,PET,petroleum,,26.28754,,0.37522,8.7,76.3,330.9552738673912,14273.682512703737,23.904132636853046,73,2902515.7926530973,0.00011402359108781128
2023,RI,TSN,estimated total solar,,1026.60855,,,,,,,,0,,0.0
2023,RI,NG,natural gas,,9553.67609,,75.40647,267.2,5.9,27.968291732193315,7892.927213528755,43.22857550430355,53,617.5633279189392,0.04528813559322034
2023,PA,COW,all coal products,26.66,12834.82793,2.13,154.98903,352.1,28.9,27.433168712531387,12075.660916164694,28.25518225203422,95,2251.6858159391,0.012183391003460208
2023,TX,TSN,estimated total solar,,32324.7469,,,,,47.09,,,0,,0.0
2023,TN,TSN,estimated total solar,,1033.96583,,,,,46.27,,,0,,0.0
2023,TN,COW,all coal products,7.87,15792.90869,1.95,189.18989,613.9,19.4,38.87187674229503,11979.420239401132,28.482179703302325,95,1228.3994279207095,0.031644329896907214
2023,WA,NUC,nuclear,,8435.018,,88.16072,57.7,,6.840530749311975,10451.752444393123,32.64524316044606,0,,0.0
2023,WY,NG,natural gas,,2129.47819,,28.64988,103.7,9.3,48.6973759519932,13453.943850911195,25.36059342754664,53,4367.267081519159,0.011150537634408602
2023,DC,NG,natural gas,,89.20979,,1.38144,0.0,1.4,0.0,15485.295952383702,22.03380555652073,53,15693.34486719451,0.0
2023,MA,PET,petroleum,,97.47643,0.3,1.31909,20.2,36.5,207.22958360292844,13532.399575979547,25.213562316445426,73,374449.4951241034,0.0005534246575342465
2023,MA,NG,natural gas,,14774.02529,,125.68582,813.3,20.4,55.04931689473235,8507.215706817029,40.107129260468675,53,1380.8017516937662,0.03986764705882353
2023,NH,TSN,estimated total solar,,302.48812,,,,,,,,0,,0.0
2023,NV,WNT,onshore wind turbine,,291.247,,0.99374,,,27.0,3412.0179778675833,99.9994731016161,0,,0.0
2023,NV,NG,natural gas,,24599.32648,,191.0455,1347.3,15.9,54.76979221749814,7766.289867949263,43.93346189769453,53,646.3591599927414,0.08473584905660377
