stateid,period,CLEIV,CLTCE,FFTCE,NGEIV,NNTCE,NUEGV,PAEIV,PMTCE
AK,2016,29.7,1.6,33.4,187.7,16.9,0.0,67.0,14.9
AK,2017,28.4,1.6,33.7,204.8,17.6,0.0,81.4,14.6
AK,2018,34.0,1.7,34.5,170.6,17.7,0.0,86.3,15.2
AK,2019,38.7,1.7,34.3,170.3,17.6,0.0,79.0,15.1
AK,2020,39.4,1.8,36.1,147.1,19.1,0.0,68.0,15.1
AK,2021,38.1,1.8,39.8,159.4,20.2,0.0,90.1,17.8
AK,2022,43.5,1.8,42.1,166.9,22.4,0.0,139.7,18.0
AK,2023,49.4,1.8,43.2,224.7,22.9,0.0,132.1,18.5
AL,2016,801.6,39.1,113.5,1257.5,37.4,289.3,3.7,37.1
AL,2017,684.1,36.1,108.2,1309.2,35.6,331.2,4.4,36.5
AL,2018,721.5,35.9,112.0,1509.2,40.3,306.8,12.9,35.8
AL,2019,615.3,30.2,106.0,1240.4,39.1,319.8,2.5,36.6
AL,2020,465.2,24.5,98.1,1005.1,37.3,306.0,0.7,36.3
AL,2021,591.7,29.6,108.4,1720.8,38.6,303.7,3.2,40.2
AL,2022,743.9,28.5,109.5,3582.7,41.2,284.6,11.0,39.8
AL,2023,605.9,21.5,101.0,1467.0,40.5,312.3,4.0,39.0
AR,2016,525.4,23.5,61.8,428.5,16.5,94.5,4.3,21.8
AR,2017,533.7,25.6,63.9,429.8,16.6,110.8,6.1,21.7
AR,2018,594.1,29.1,70.5,515.0,19.2,107.7,5.3,22.3
AR,2019,463.4,22.9,64.9,426.2,19.4,95.9,6.6,22.5
AR,2020,296.4,15.5,54.5,322.6,17.5,92.8,5.2,21.5
AR,2021,442.5,20.7,61.8,1072.9,18.8,75.2,8.6,22.3
AR,2022,486.8,20.3,63.3,1349.7,20.8,74.4,16.7,22.2
AR,2023,387.6,17.3,60.4,531.3,20.9,72.9,10.2,22.2
AZ,2016,681.1,30.9,90.8,839.3,19.7,280.1,6.4,40.1
AZ,2017,734.9,32.0,90.4,839.8,17.7,250.9,8.5,40.7
AZ,2018,790.4,31.7,94.0,876.7,21.1,222.3,9.4,41.1
AZ,2019,642.5,24.6,92.5,787.5,25.6,243.3,12.1,42.2
AZ,2020,322.0,15.0,80.1,966.0,27.1,232.2,5.9,37.9
AZ,2021,355.3,15.4,82.8,1764.5,25.6,215.6,8.6,41.8
AZ,2022,420.9,14.8,80.4,2939.2,24.7,220.3,10.0,40.9
AZ,2023,402.9,13.2,83.0,1770.9,28.4,211.7,8.6,41.4
CA,2016,0.0,3.1,348.9,2104.6,117.2,127.9,4.3,228.6
CA,2017,0.0,3.2,352.3,2259.7,114.1,124.9,5.4,234.9
CA,2018,0.0,3.2,355.0,2852.1,115.1,129.1,6.5,236.6
CA,2019,0.0,3.0,354.6,2199.5,115.6,113.6,5.8,236.0
CA,2020,0.0,2.7,299.6,2070.6,112.3,110.5,4.9,184.7
CA,2021,0.0,2.7,321.9,3598.7,113.4,121.9,6.5,205.9
CA,2022,0.0,2.9,324.1,6595.4,111.3,111.1,7.9,210.0
CA,2023,0.0,2.8,324.3,5455.5,112.5,106.3,8.4,209.1
CO,2016,581.4,30.7,88.1,327.6,24.2,0.0,1.0,33.1
CO,2017,547.0,30.2,88.4,363.7,24.1,0.0,1.5,34.1
CO,2018,459.5,27.2,89.7,500.9,27.0,0.0,2.7,35.4
CO,2019,469.1,26.1,91.3,448.9,28.9,0.0,2.0,36.2
CO,2020,361.4,20.8,79.5,436.5,28.8,0.0,1.3,29.9
CO,2021,398.7,24.2,84.8,943.3,26.6,0.0,7.0,34.0
CO,2022,438.6,22.3,86.5,955.5,27.4,0.0,10.0,36.7
CO,2023,426.3,19.6,82.2,549.6,27.4,0.0,77.5,35.2
CT,2016,9.5,0.2,33.7,451.5,13.4,123.1,7.5,20.0
CT,2017,10.9,0.2,33.5,473.9,13.0,123.3,18.5,20.2
CT,2018,15.6,0.4,36.9,653.2,15.1,119.8,44.2,21.5
CT,2019,2.9,0.1,36.2,517.9,15.5,113.4,4.1,20.7
CT,2020,0.2,0.0,33.4,391.5,15.7,101.8,4.9,17.7
