Region,Year,Price ($/MWh)
CAISO,2015,57.96142857142858
CAISO,2016,38.28181818181818
CAISO,2017,33.72
CAISO,2018,32.146
CAISO,2019,23.25
CAISO,2020,27.543846153846154
CAISO,2021,23.05
CAISO,2022,27.3175
CAISO,2024,35.91
CAISO,2025,45.03
ERCOT,2015,41.419999999999995
ERCOT,2016,36.79
ERCOT,2017,30.71
ERCOT,2018,32.83
Hawaii,2015,142.39
Hawaii,2017,101.63
ISO-NE,2017,82.18875
ISO-NE,2019,45.04
ISO-NE,2020,44.66
ISO-NE,2022,62.06
MISO,2015,59.917500000000004
MISO,2017,33.553333333333335
MISO,2018,40.76555555555555
MISO,2019,41.008
MISO,2020,32.802
MISO,2021,32.756
MISO,2022,58.07
MISO,2023,47.09
MISO,2024,48.63
NYISO,2016,92.1525
NYISO,2018,75.356
NYISO,2019,59.945
NYISO,2020,122.5
NYISO,2023,64.483
NYISO,2024,78.23157894736842
NYISO,2025,122.65
PJM,2015,75.07
PJM,2016,50.153333333333336
PJM,2017,90.225
PJM,2018,34.21666666666667
PJM,2019,31.203333333333333
PJM,2020,32.08857142857143
PJM,2021,43.12
PJM,2022,48.086
SPP,2015,52.6825
SPP,2018,64.55
SPP,2019,45.61
SPP,2021,25.42
SPP,2022,29.33
Southeast (non-ISO),2015,60.7525
Southeast (non-ISO),2016,51.519999999999996
Southeast (non-ISO),2017,36.152
Southeast (non-ISO),2018,28.674
Southeast (non-ISO),2019,25.125555555555554
Southeast (non-ISO),2020,27.4775
Southeast (non-ISO),2021,27.045
Southeast (non-ISO),2022,31.01
Southeast (non-ISO),2023,46.27
West (non-ISO),2015,47.28928571428571
West (non-ISO),2016,41.1525
West (non-ISO),2017,33.92666666666667
West (non-ISO),2018,24.66478260869565
West (non-ISO),2019,22.132777777777775
West (non-ISO),2020,23.47
West (non-ISO),2021,20.53
West (non-ISO),2022,28.02125
West (non-ISO),2023,28.528
West (non-ISO),2024,26.796666666666667
West (non-ISO),2025,29.44
