State,Year,Price ($/MWh)
AL,2015,60.7525
AL,2016,51.52
AL,2017,36.152
AL,2018,28.674
AL,2019,25.12555555555555
AL,2020,27.4775
AL,2021,27.045
AL,2022,31.01
AL,2023,46.27
AL,2024,
AR,2015,56.3
AR,2016,
AR,2017,33.553333333333335
AR,2018,52.657777777777774
AR,2019,43.309
AR,2020,32.802
AR,2021,29.088
AR,2022,43.7
AR,2023,47.09
AR,2024,48.63
AZ,2015,47.28928571428571
AZ,2016,41.1525
AZ,2017,33.92666666666667
AZ,2018,24.66478260869565
AZ,2019,22.132777777777775
AZ,2020,23.47
AZ,2021,20.53
AZ,2022,28.02125
AZ,2023,28.528
AZ,2024,26.796666666666667
CA,2015,57.96142857142858
CA,2016,38.28181818181818
CA,2017,33.72
CA,2018,32.146
CA,2019,23.25
CA,2020,27.54384615384615
CA,2021,23.05
CA,2022,27.3175
CA,2023,
CA,2024,35.91
CO,2015,47.28928571428571
CO,2016,41.1525
CO,2017,33.92666666666667
CO,2018,24.66478260869565
CO,2019,22.132777777777775
CO,2020,23.47
CO,2021,20.53
CO,2022,28.02125
CO,2023,28.528
CO,2024,26.796666666666667
CT,2015,
CT,2016,
CT,2017,82.18875
CT,2018,
CT,2019,45.04
CT,2020,44.66
CT,2021,
CT,2022,62.06
CT,2023,
CT,2024,
DC,2015,75.07
DC,2016,50.153333333333336
DC,2017,90.225
DC,2018,34.21666666666667
DC,2019,31.203333333333333
DC,2020,32.08857142857143
DC,2021,43.12
DC,2022,48.086
DC,2023,
DC,2024,
DE,2015,75.07
DE,2016,50.153333333333336
DE,2017,90.225
DE,2018,34.21666666666667
DE,2019,31.203333333333333
DE,2020,32.08857142857143
DE,2021,43.12
DE,2022,48.086
DE,2023,
DE,2024,
FL,2015,60.7525
FL,2016,51.52
FL,2017,36.152
FL,2018,28.674
FL,2019,25.12555555555555
FL,2020,27.4775
FL,2021,27.045
FL,2022,31.01
FL,2023,46.27
FL,2024,
GA,2015,60.7525
GA,2016,51.52
GA,2017,36.152
GA,2018,28.674
GA,2019,25.12555555555555
GA,2020,27.4775
GA,2021,27.045
GA,2022,31.01
GA,2023,46.27
GA,2024,
HI,2015,142.39
HI,2016,
HI,2017,101.63
HI,2018,
HI,2019,
HI,2020,
HI,2021,
HI,2022,
HI,2023,
HI,2024,
IA,2015,56.3
IA,2016,
IA,2017,33.553333333333335
IA,2018,52.657777777777774
IA,2019,43.309
IA,2020,32.802
IA,2021,29.088
IA,2022,43.7
IA,2023,47.09
IA,2024,48.63
ID,2015,47.28928571428571
ID,2016,41.1525
ID,2017,33.92666666666667
ID,2018,24.66478260869565
ID,2019,22.132777777777775
ID,2020,23.47
ID,2021,20.53
ID,2022,28.02125
ID,2023,28.528
ID,2024,26.796666666666667
IL,2015,67.49374999999999
IL,2016,50.153333333333336
IL,2017,61.88916666666667
IL,2018,37.49111111111111
IL,2019,36.105666666666664
IL,2020,32.44528571428572
IL,2021,37.938
IL,2022,53.078
IL,2023,47.09
IL,2024,48.63
IN,2015,67.49374999999999
IN,2016,50.153333333333336
IN,2017,61.88916666666667
IN,2018,37.49111111111111
IN,2019,36.105666666666664
IN,2020,32.44528571428572
IN,2021,37.938
IN,2022,53.078
IN,2023,47.09
IN,2024,48.63
KS,2015,52.6825
KS,2016,
KS,2017,
