Region,Year,Real 2024$/MWh
CAISO,2015,50.0
CAISO,2016,49.666666666666664
CAISO,2017,43.0
CAISO,2018,42.333333333333336
CAISO,2019,39.5
CAISO,2020,39.0
CAISO,2023,41.0
ERCOT,2017,25.0
ISO-NE,2015,86.0
ISO-NE,2016,47.0
ISO-NE,2018,42.0
ISO-NE,2019,39.0
MISO,2015,40.75
MISO,2016,26.2
MISO,2017,26.3
MISO,2018,18.0
MISO,2019,23.166666666666668
MISO,2020,30.666666666666668
MISO,2021,27.333333333333332
MISO,2022,27.0
MISO,2023,33.0
NYISO,2015,91.0
NYISO,2017,61.0
NYISO,2018,63.5
NYISO,2019,60.0
NYISO,2020,59.0
NYISO,2023,64.66666666666667
NYISO,2024,81.0
PJM,2015,47.5
PJM,2016,39.666666666666664
PJM,2017,45.0
PJM,2018,30.0
PJM,2019,35.666666666666664
PJM,2020,31.5
PJM,2021,18.0
SPP,2015,27.714285714285715
SPP,2016,23.875
SPP,2017,15.25
SPP,2018,14.833333333333334
SPP,2019,13.25
SPP,2020,15.0
SPP,2021,17.0
SPP,2022,29.0
Southeast (non-ISO),2017,20.0
Southeast (non-ISO),2019,20.0
West (non-ISO),2015,42.0
West (non-ISO),2016,42.5
West (non-ISO),2017,30.166666666666668
West (non-ISO),2018,15.8
West (non-ISO),2019,24.555555555555557
West (non-ISO),2020,37.8
West (non-ISO),2021,29.666666666666668
West (non-ISO),2022,29.555555555555557
West (non-ISO),2023,27.0
