State,Year,Real 2024$/MWh
AL,2015,
AL,2016,
AL,2017,20.0
AL,2018,
AL,2019,20.0
AL,2020,
AL,2021,
AL,2022,
AL,2023,
AL,2024,
AR,2015,34.23214285714286
AR,2016,25.0375
AR,2017,20.775
AR,2018,16.416666666666668
AR,2019,18.208333333333336
AR,2020,22.833333333333336
AR,2021,22.166666666666664
AR,2022,28.0
AR,2023,33.0
AR,2024,
AZ,2015,42.0
AZ,2016,42.5
AZ,2017,30.166666666666668
AZ,2018,15.8
AZ,2019,24.555555555555557
AZ,2020,37.8
AZ,2021,29.666666666666668
AZ,2022,29.555555555555557
AZ,2023,27.0
AZ,2024,
CA,2015,50.0
CA,2016,49.666666666666664
CA,2017,43.0
CA,2018,42.333333333333336
CA,2019,39.5
CA,2020,39.0
CA,2021,
CA,2022,
CA,2023,41.0
CA,2024,
CO,2015,42.0
CO,2016,42.5
CO,2017,30.166666666666668
CO,2018,15.8
CO,2019,24.555555555555557
CO,2020,37.8
CO,2021,29.666666666666668
CO,2022,29.555555555555557
CO,2023,27.0
CO,2024,
CT,2015,86.0
CT,2016,47.0
CT,2017,
CT,2018,42.0
CT,2019,39.0
CT,2020,
CT,2021,
CT,2022,
CT,2023,
CT,2024,
DC,2015,47.5
DC,2016,39.666666666666664
DC,2017,45.0
DC,2018,30.0
DC,2019,35.666666666666664
DC,2020,31.5
DC,2021,18.0
DC,2022,
DC,2023,
DC,2024,
DE,2015,47.5
DE,2016,39.666666666666664
DE,2017,45.0
DE,2018,30.0
DE,2019,35.666666666666664
DE,2020,31.5
DE,2021,18.0
DE,2022,
DE,2023,
DE,2024,
FL,2015,
FL,2016,
FL,2017,20.0
FL,2018,
FL,2019,20.0
FL,2020,
FL,2021,
FL,2022,
FL,2023,
FL,2024,
GA,2015,
GA,2016,
GA,2017,20.0
GA,2018,
GA,2019,20.0
GA,2020,
GA,2021,
GA,2022,
GA,2023,
GA,2024,
HI,2015,
HI,2016,
HI,2017,
HI,2018,
HI,2019,
HI,2020,
HI,2021,
HI,2022,
HI,2023,
HI,2024,
IA,2015,34.23214285714286
IA,2016,25.0375
IA,2017,20.775
IA,2018,16.416666666666668
IA,2019,18.208333333333336
IA,2020,22.833333333333336
IA,2021,22.166666666666664
IA,2022,28.0
IA,2023,33.0
IA,2024,
ID,2015,42.0
ID,2016,42.5
ID,2017,30.166666666666668
ID,2018,15.8
ID,2019,24.555555555555557
ID,2020,37.8
ID,2021,29.666666666666668
ID,2022,29.555555555555557
ID,2023,27.0
ID,2024,
IL,2015,44.125
IL,2016,32.93333333333333
IL,2017,35.65
IL,2018,24.0
IL,2019,29.416666666666664
IL,2020,31.083333333333336
IL,2021,22.666666666666664
IL,2022,27.0
IL,2023,33.0
IL,2024,
IN,2015,44.125
IN,2016,32.93333333333333
IN,2017,35.65
IN,2018,24.0
IN,2019,29.416666666666664
IN,2020,31.083333333333336
IN,2021,22.666666666666664
IN,2022,27.0
IN,2023,33.0
IN,2024,
KS,2015,27.714285714285715
KS,2016,23.875
KS,2017,15.25
KS,2018,14.833333333333334
KS,2019,13.25
KS,2020,15.0
KS,2021,17.0
KS,2022,29.0
KS,2023,
KS,2024,
KY,2015,44.125
KY,2016,32.93333333333333
KY,2017,35.65
KY,2018,24.0
KY,2019,29.416666666666664
KY,2020,31.083333333333336
KY,2021,22.666666666666664
KY,2022,27.0
KY,2023,33.0
KY,2024,
LA,2015,34.23214285714286
LA,2016,25.0375
LA,2017,20.775
LA,2018,16.416666666666668
LA,2019,18.208333333333336
LA,2020,22.833333333333336
LA,2021,22.166666666666664
LA,2022,28.0
LA,2023,33.0
LA,2024,
MA,2015,86.0
MA,2016,47.0
MA,2017,
MA,2018,42.0
MA,2019,39.0
MA,2020,
MA,2021,
MA,2022,
MA,2023,
MA,2024,
MD,2015,47.5
MD,2016,39.666666666666664
MD,2017,45.0
MD,2018,30.0
MD,2019,35.666666666666664
MD,2020,31.5
MD,2021,18.0
MD,2022,
MD,2023,
MD,2024,
ME,2015,86.0
ME,2016,47.0
ME,2017,
ME,2018,42.0
ME,2019,39.0
ME,2020,
ME,2021,
ME,2022,
ME,2023,
ME,2024,
MI,2015,44.125
MI,2016,32.93333333333333
MI,2017,35.65
MI,2018,24.0
MI,2019,29.416666666666664
MI,2020,31.083333333333336
MI,2021,22.666666666666664
MI,2022,27.0
MI,2023,33.0
MI,2024,
MN,2015,34.23214285714286
MN,2016,25.0375
MN,2017,20.775
MN,2018,16.416666666666668
MN,2019,18.208333333333336
MN,2020,22.833333333333336
MN,2021,22.166666666666664
MN,2022,28.0
MN,2023,33.0
MN,2024,
MO,2015,34.23214285714286
MO,2016,25.0375
MO,2017,20.775
MO,2018,16.416666666666668
MO,2019,18.208333333333336
MO,2020,22.833333333333336
MO,2021,22.166666666666664
MO,2022,28.0
MO,2023,33.0
MO,2024,
MS,2015,40.75
MS,2016,26.2
MS,2017,23.15
MS,2018,18.0
MS,2019,21.583333333333336
MS,2020,30.666666666666668
MS,2021,27.333333333333332
MS,2022,27.0
MS,2023,33.0
MS,2024,
MT,2015,36.82142857142858
MT,2016,30.858333333333334
MT,2017,23.905555555555555
MT,2018,16.211111111111112
MT,2019,20.324074074074076
MT,2020,27.822222222222223
MT,2021,24.666666666666668
MT,2022,28.51851851851852
MT,2023,30.0
MT,2024,
NC,2015,47.5
NC,2016,39.666666666666664
NC,2017,32.5
NC,2018,30.0
NC,2019,27.833333333333332
NC,2020,31.5
NC,2021,18.0
NC,2022,
NC,2023,
NC,2024,
ND,2015,34.23214285714286
ND,2016,25.0375
ND,2017,20.775
ND,2018,16.416666666666668
ND,2019,18.208333333333336
ND,2020,22.833333333333336
ND,2021,22.166666666666664
ND,2022,28.0
ND,2023,33.0
ND,2024,
NE,2015,27.714285714285715
NE,2016,23.875
NE,2017,15.25
NE,2018,14.833333333333334
NE,2019,13.25
NE,2020,15.0
NE,2021,17.0
NE,2022,29.0
NE,2023,
NE,2024,
NH,2015,86.0
NH,2016,47.0
NH,2017,
NH,2018,42.0
NH,2019,39.0
NH,2020,
NH,2021,
NH,2022,
NH,2023,
NH,2024,
NJ,2015,47.5
NJ,2016,39.666666666666664
NJ,2017,45.0
NJ,2018,30.0
NJ,2019,35.666666666666664
NJ,2020,31.5
NJ,2021,18.0
NJ,2022,
NJ,2023,
NJ,2024,
NM,2015,34.85714285714286
NM,2016,33.1875
NM,2017,22.708333333333336
NM,2018,15.316666666666666
NM,2019,18.90277777777778
NM,2020,26.4
NM,2021,23.333333333333336
NM,2022,29.27777777777778
NM,2023,27.0
NM,2024,
NV,2015,42.0
NV,2016,42.5
NV,2017,30.166666666666668
NV,2018,15.8
NV,2019,24.555555555555557
NV,2020,37.8
NV,2021,29.666666666666668
NV,2022,29.555555555555557
NV,2023,27.0
NV,2024,
NY,2015,91.0
NY,2016,
NY,2017,61.0
NY,2018,63.5
NY,2019,60.0
NY,2020,59.0
NY,2021,
NY,2022,
NY,2023,64.66666666666667
NY,2024,81.0
OH,2015,47.5
OH,2016,39.666666666666664
OH,2017,45.0
OH,2018,30.0
OH,2019,35.666666666666664
OH,2020,31.5
OH,2021,18.0
OH,2022,
OH,2023,
OH,2024,
OK,2015,27.714285714285715
OK,2016,23.875
OK,2017,15.25
OK,2018,14.833333333333334
OK,2019,13.25
OK,2020,15.0
OK,2021,17.0
OK,2022,29.0
OK,2023,
OK,2024,
OR,2015,42.0
OR,2016,42.5
OR,2017,30.166666666666668
OR,2018,15.8
OR,2019,24.555555555555557
OR,2020,37.8
OR,2021,29.666666666666668
OR,2022,29.555555555555557
OR,2023,27.0
OR,2024,
PA,2015,47.5
PA,2016,39.666666666666664
PA,2017,45.0
PA,2018,30.0
PA,2019,35.666666666666664
PA,2020,31.5
PA,2021,18.0
PA,2022,
PA,2023,
PA,2024,
RI,2015,86.0
RI,2016,47.0
RI,2017,
RI,2018,42.0
RI,2019,39.0
RI,2020,
RI,2021,
RI,2022,
RI,2023,
RI,2024,
SC,2015,
SC,2016,
SC,2017,20.0
SC,2018,
SC,2019,20.0
SC,2020,
SC,2021,
SC,2022,
SC,2023,
SC,2024,
SD,2015,34.23214285714286
SD,2016,25.0375
SD,2017,20.775
SD,2018,16.416666666666668
SD,2019,18.208333333333336
SD,2020,22.833333333333336
SD,2021,22.166666666666664
SD,2022,28.0
SD,2023,33.0
SD,2024,
TN,2015,47.5
TN,2016,39.666666666666664
TN,2017,32.5
TN,2018,30.0
TN,2019,27.833333333333332
TN,2020,31.5
TN,2021,18.0
TN,2022,
TN,2023,
TN,2024,
TX,2015,34.23214285714286
TX,2016,25.0375
TX,2017,22.183333333333334
TX,2018,16.416666666666668
TX,2019,18.208333333333336
TX,2020,22.833333333333336
TX,2021,22.166666666666664
TX,2022,28.0
TX,2023,33.0
TX,2024,
UT,2015,42.0
UT,2016,42.5
UT,2017,30.166666666666668
UT,2018,15.8
UT,2019,24.555555555555557
UT,2020,37.8
UT,2021,29.666666666666668
UT,2022,29.555555555555557
UT,2023,27.0
UT,2024,
VA,2015,47.5
VA,2016,39.666666666666664
VA,2017,45.0
VA,2018,30.0
VA,2019,35.666666666666664
VA,2020,31.5
VA,2021,18.0
VA,2022,
VA,2023,
VA,2024,
VT,2015,86.0
VT,2016,47.0
VT,2017,
VT,2018,42.0
VT,2019,39.0
VT,2020,
VT,2021,
VT,2022,
VT,2023,
VT,2024,
WA,2015,42.0
WA,2016,42.5
WA,2017,30.166666666666668
WA,2018,15.8
WA,2019,24.555555555555557
WA,2020,37.8
WA,2021,29.666666666666668
WA,2022,29.555555555555557
WA,2023,27.0
WA,2024,
WI,2015,40.75
WI,2016,26.2
WI,2017,26.3
WI,2018,18.0
WI,2019,23.166666666666668
WI,2020,30.666666666666668
WI,2021,27.333333333333332
WI,2022,27.0
WI,2023,33.0
WI,2024,
