period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2024,AR,Arkansas,TRA,transportation,2,13.3,.03496,.2629,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,PA,Pennsylvania,TRA,transportation,5,9.96,49.26808,494.79952,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,PA,Pennsylvania,RES,residential,5525582,17.79,9685.95414,54433.25442,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,PA,Pennsylvania,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,PA,Pennsylvania,IND,industrial,11563,7.84,3833.95533,48898.77926,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,PA,Pennsylvania,COM,commercial,741510,11.01,4214.45037,38268.67061,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,PA,Pennsylvania,ALL,all sectors,6278660,12.52,17783.62792,142095.50381,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OR,Oregon,TRA,transportation,2,12.54,2.77946,22.1613,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OR,Oregon,RES,residential,1883053,14.63,2908.40125,19874.8273,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OR,Oregon,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OR,Oregon,IND,industrial,26650,7.92,1202.78683,15185.36482,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OR,Oregon,COM,commercial,247896,10.81,2551.8954,23599.74022,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OR,Oregon,ALL,all sectors,2157601,11.36,6665.86294,58682.09363,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OK,Oklahoma,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OK,Oklahoma,RES,residential,1899130,12.24,3007.59096,24563.2406,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OK,Oklahoma,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OK,Oklahoma,IND,industrial,19273,5.78,1303.39414,22538.26611,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OK,Oklahoma,COM,commercial,311722,8.94,2290.42822,25618.87494,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OK,Oklahoma,ALL,all sectors,2230125,9.08,6601.41332,72720.38166,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OH,Ohio,TRA,transportation,2,7.09,2.24412,31.64481,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OH,Ohio,RES,residential,5103505,16.07,8419.49617,52406.16913,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OH,Ohio,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OH,Ohio,IND,industrial,18121,7.16,3643.78891,50902.7619,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OH,Ohio,COM,commercial,627595,10.78,5453.21572,50602.85801,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,OH,Ohio,ALL,all sectors,5749223,11.38,17518.74492,153943.43386,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ND,North Dakota,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
