period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2023,CLEIV,Coal expenditures in the electric power sector,AK,Alaska,49.4,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,AL,Alabama,605.9,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,AR,Arkansas,387.6,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,AZ,Arizona,402.9,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,CA,California,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,CO,Colorado,426.3,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,CT,Connecticut,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,DC,District of Columbia,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,DE,Delaware,1.2,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,FL,Florida,428.6,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,GA,Georgia,775.1,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,HI,Hawaii,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,IA,Iowa,287.5,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,ID,Idaho,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,IL,Illinois,584.1,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,IN,Indiana,1387.6,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,KS,Kansas,308.7,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,KY,Kentucky,1159.2,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,LA,Louisiana,160.4,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MA,Massachusetts,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MD,Maryland,77.3,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,ME,Maine,7,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MI,Michigan,618,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MN,Minnesota,316.4,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MO,Missouri,815.9,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MS,Mississippi,187.2,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,MT,Montana,302.6,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NC,North Carolina,693.2,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,ND,North Dakota,476.7,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NE,Nebraska,244.9,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NH,New Hampshire,9.9,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NJ,New Jersey,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NM,New Mexico,263.6,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NV,Nevada,128.2,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,NY,New York,0,Million dollars
2023,CLEIV,Coal expenditures in the electric power sector,OH,Ohio,847.9,Million dollars
