PPA Execution Date,Capacity (MW),Term (years),CAISO,West (non-ISO),MISO,SPP,ERCOT,PJM,NYISO,ISO-NE,Southeast (non-ISO),Hawaii
9/1/06,7.0,20,#N/A,280.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/25/07,5.0,20,253.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/08,550.0,25,170.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/23/08,210.0,25,148.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/19/08,10.0,20,196.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/23/09,30.0,25,#N/A,152.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/1/09,30.0,25,#N/A,#N/A,#N/A,#N/A,180.65,#N/A,#N/A,#N/A,#N/A,#N/A
3/5/09,19.0,20,#N/A,171.94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/09,12.6,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236.08,#N/A
5/8/09,230.0,25,165.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/09,20.0,25,#N/A,147.20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/09,14.0,30,#N/A,#N/A,#N/A,#N/A,227.20,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/09,10.1,20,#N/A,#N/A,#N/A,#N/A,#N/A,259.67,#N/A,#N/A,#N/A,#N/A
6/22/09,48.0,20,194.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/17/09,250.0,20,164.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/8/09,250.0,25,233.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/20/09,21.0,20,136.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/23/09,50.0,20,#N/A,#N/A,#N/A,150.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/09,6.0,20,288.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/09,19.0,20,288.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/09,20.0,20,288.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/10,50.0,24,186.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/10,20.0,24,186.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/10,20.0,25,190.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/2/10,50.0,25,#N/A,156.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/24/10,300.0,25,160.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
