PPA Execution Date,Capacity (MW),Term (years),Region,Macro Region,Real 2024$/MWh
9/6/96,107.25,30,MISO,Central,42
11/27/96,25.08,30,West (non-ISO),West,80
3/11/97,108.75,20,MISO,Central,63
5/14/97,9,33,MISO,Central,64
7/16/97,70.5,19,MISO,Central,74
2/27/98,41.25,25,MISO,Central,61
4/9/98,103.5,25,MISO,Central,44
9/21/98,1.98,15,MISO,Central,53
8/31/99,74.9,20,ERCOT,Central,41
11/12/99,10.4,12,PJM,East,229
5/10/00,16.8,20,West (non-ISO),West,55
9/21/00,29.7,15,West (non-ISO),West,59
10/31/00,150,10,ERCOT,Central,41
11/30/00,299.64,25,West (non-ISO),West,39
1/22/01,50,20,West (non-ISO),West,51
2/23/01,40.05,15,MISO,Central,46
3/13/01,112.2,15,SPP,Central,37
4/17/01,25.5,25,MISO,Central,119
4/18/01,4.5,20,MISO,Central,104
4/25/01,64.5,20,PJM,East,63
11/1/01,160.5,20,ERCOT,Central,36
11/7/01,49.8,20,West (non-ISO),West,92
11/9/01,40.05,10,MISO,Central,60
12/20/01,9,20,PJM,East,60
12/20/01,66,20,PJM,East,59
12/21/01,80,15,SPP,Central,36
12/31/01,51,15,MISO,Central,42
3/30/02,15,20,PJM,East,60
4/23/02,85.5,20,MISO,Central,36
9/13/02,40.5,25,MISO,Central,28
9/13/02,21,25,MISO,Central,40
9/13/02,40.5,25,West (non-ISO),West,30
9/19/02,5.94,20,MISO,Central,38
9/27/02,56.76,25,MISO,Central,33
10/2/02,16.5,15,CAISO,West,73
10/7/02,162,25,CAISO,West,50
10/14/02,11.22,20,MISO,Central,38
10/21/02,204,25,West (non-ISO),West,36
10/30/02,60,15,CAISO,West,67
10/31/02,22.44,15,CAISO,West,69
11/25/02,43.5,15,MISO,Central,35
12/20/02,27,20,Southeast (non-ISO),East,96
1/10/03,24,20,West (non-ISO),West,51
1/21/03,74.25,20,SPP,Central,32
3/27/03,51,25,SPP,Central,24
4/1/03,162,15,West (non-ISO),West,52
4/21/03,30,20,PJM,East,53
5/28/03,144,25,West (non-ISO),West,54
5/30/03,24,20,PJM,East,69
6/6/03,51,15,SPP,Central,35
11/13/03,10,20,MISO,Central,42
1/6/04,9,20,West (non-ISO),West,74
4/7/04,3.3,20,MISO,Central,37
5/27/04,91.5,12,ERCOT,Central,38
5/30/04,100.5,15,MISO,Central,34
5/31/04,50,20,CAISO,West,66
7/2/04,16.5,20,MISO,Central,83
7/2/04,27.5,20,MISO,Central,83
7/8/04,80,20,SPP,Central,38
9/9/04,10.5,20,West (non-ISO),West,74
10/6/04,20.46,11.5,CAISO,West,62
11/19/04,27.5,20,MISO,Central,83
12/8/04,75,30,West (non-ISO),West,56
12/16/04,35,12,ERCOT,Central,41
1/26/05,151.2,10,SPP,Central,38
2/28/05,120,20,SPP,Central,38
2/28/05,60,20,West (non-ISO),West,48
3/28/05,100,12,ERCOT,Central,41
4/1/05,64.5,20,West (non-ISO),West,74
4/1/05,38,10,CAISO,West,78
4/8/05,147,20,SPP,Central,33
