Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $)
2023,SD,COW,all coal products,5.14,1562.74207,0.31,17.95756,,40.5
2023,TX,NUC,nuclear,,40679.87,,425.17591,,250.2
2023,ME,PET,petroleum,,67.15373,0.43,1.41782,,17.1
2023,IL,PET,petroleum,,26.28754,,0.37522,,8.7
2023,RI,TSN,estimated total solar,,1026.60855,,,,
2023,RI,NG,natural gas,,9553.67609,,75.40647,,267.2
2023,PA,COW,all coal products,26.66,12834.82793,2.13,154.98903,,352.1
2023,TX,TSN,estimated total solar,,32324.7469,,,47.09,
2023,TN,TSN,estimated total solar,,1033.96583,,,46.27,
2023,TN,COW,all coal products,7.87,15792.90869,1.95,189.18989,,613.9
2023,WA,NUC,nuclear,,8435.018,,88.16072,,57.7
2023,WY,NG,natural gas,,2129.47819,,28.64988,,103.7
2023,DC,NG,natural gas,,89.20979,,1.38144,,0.0
2023,MA,PET,petroleum,,97.47643,0.3,1.31909,,20.2
2023,MA,NG,natural gas,,14774.02529,,125.68582,,813.3
2023,NH,TSN,estimated total solar,,302.48812,,,,
2023,NV,WNT,onshore wind turbine,,291.247,,0.99374,27.0,
2023,NV,NG,natural gas,,24599.32648,,191.0455,,1347.3
2023,NV,COW,all coal products,5.84,2059.63557,0.4,24.91511,,128.2
2023,NM,TSN,estimated total solar,,3314.1637,,,28.528,
2023,NY,TSN,estimated total solar,,6204.58863,,,64.483,
2023,NC,COW,all coal products,9.78,14204.64671,1.72,152.64404,,693.2
2023,VT,WNT,onshore wind turbine,,339.614,,1.15876,,
2023,DE,PET,petroleum,,-1.89086,,0.21494,,4.3
2023,SC,COW,all coal products,9.33,15150.42088,2.0,161.26932,,573.3
2023,ND,NG,natural gas,,2833.41803,,31.897,,104.2
2023,NC,NG,natural gas,,51788.03063,,423.40066,,2209.5
2023,DC,PET,petroleum,,0.05358,,0.00072,,0.0
2023,NY,WNT,onshore wind turbine,,4799.69792,,16.37657,64.66666666666667,
2023,UT,TSN,estimated total solar,,4834.71443,,,28.528,
2023,UT,PET,petroleum,,29.28454,,0.32364,,7.9
2023,VT,TSN,estimated total solar,,430.4843,,,,
2023,PA,WNT,onshore wind turbine,,3258.324,,11.1174,,
2023,PA,NG,natural gas,,139256.04731,,1023.06769,,2032.1
2023,OH,TSN,estimated total solar,,1799.89172,,,,
2023,MS,TSN,estimated total solar,,656.16677,,,46.68000000000001,
2023,MS,NG,natural gas,,55167.57231,,424.64821,,1140.4
2023,WI,WNT,onshore wind turbine,,1737.844,,5.92953,33.0,
2023,ID,PET,petroleum,,0.12339,,0.0016,,0.0
2023,ID,NG,natural gas,,5686.22443,,56.73508,,307.3
2023,ND,WNT,onshore wind turbine,,14476.709,,49.39453,33.0,
2023,ND,COW,all coal products,9.66,22525.07552,0.73,261.6282,,476.7
2023,VA,PET,petroleum,,134.54548,0.21,3.14837,,25.2
2023,VA,COW,all coal products,17.49,1415.02692,1.05,18.7517,,78.4
2023,CO,COW,all coal products,6.93,18787.6167,0.34,201.86808,,426.3
2023,MS,NUC,nuclear,,11749.621,,122.80413,,79.8
