Year,State,fuelTypeDescription,Generation_MWh,Expenditure_USD,Price_per_MWh
2016,AK,natural gas,3040487.3,187700000.0,61.733525412192975
2016,AK,petroleum,831329.64,67000000.0,80.59378226908883
2016,AL,all coal products,34258405.52,801600000.0,23.398637147079924
2016,AL,nuclear,39901879.0,289300000.0,7.250285130682693
2016,AL,petroleum,45832.369999999995,3700000.0,80.72896950343176
2016,AR,nuclear,13421022.0,94500000.0,7.041192541074741
2016,AR,petroleum,42363.25,4300000.0,101.50307164818564
2016,AZ,all coal products,30403392.1,681100000.0,22.40210558610662
2016,AZ,nuclear,32377477.0,280100000.0,8.651075560952448
2016,CA,all coal products,318875.81,0.0,0.0
2016,CA,natural gas,97073663.92999999,2104600000.0,21.68044261229937
2016,CO,all coal products,29948675.05,581400000.0,19.4132127391058
2016,CO,natural gas,12679439.379999999,327600000.0,25.83710447929915
2016,CO,petroleum,6974.51,1000000.0,143.37924814789855
2016,CT,all coal products,177370.47999999998,9500000.0,53.560209117097735
2016,CT,nuclear,16575491.999999998,123100000.0,7.426627215650673
2016,CT,petroleum,91734.54,7500000.0,81.75764548445984
2016,DC,natural gas,22702.03,0.0,0.0
2016,DE,all coal products,479349.83,16100000.000000002,33.587161176212376
2016,DE,natural gas,7787468.5,112100000.0,14.394921790052827
2016,FL,natural gas,158495444.78,4560400000.0,28.7730666728629
2016,FL,nuclear,29320022.0,198600000.0,6.773528341827301
2016,GA,nuclear,34480662.0,290900000.0,8.436612962941373
2016,HI,petroleum,6640316.1,555300000.0,83.62553704333443
2016,IA,all coal products,25198346.95,397400000.0,15.770875795485466
2016,IA,petroleum,277772.7,10300000.0,37.08067783479082
2016,ID,all coal products,29188.26,0.0,0.0
2016,IL,all coal products,59337801.88,1223300000.0,20.615863096410337
2016,IL,natural gas,17484691.19,419700000.0,24.003855454995882
2016,IL,petroleum,69502.97,8500000.0,122.29693205916236
2016,IN,natural gas,19995659.49,533400000.0,26.675789326516483
2016,KS,all coal products,23096063.86,425900000.0,18.44037159672107
2016,KS,natural gas,2027207.04,71000000.0,35.023556350711964
2016,KS,nuclear,8246041.999999999,56800000.0,6.888153128494859
2016,KS,petroleum,28323.68,4000000.0,141.22458663563492
2016,KY,all coal products,66822058.35000001,1512300000.0,22.631748218213932
2016,KY,natural gas,8228333.86,218500000.0,26.554586106694508
2016,LA,all coal products,12013648.98,398900000.0,33.20390005268824
2016,LA,natural gas,66479141.690000005,912300000.0,13.723101363946023
2016,LA,nuclear,17151826.0,104700000.0,6.10430632866728
2016,LA,petroleum,4819224.54,81900000.0,16.994435374451342
2016,MA,all coal products,1874931.65,81500000.0,43.46825122931815
2016,MA,natural gas,21143936.01,514700000.00000006,24.342676772979885
2016,MA,nuclear,5414318.0,37700000.0,6.9630191651099915
2016,MA,petroleum,422281.41,23300000.0,55.176475800817286
2016,MD,all coal products,13826213.309999999,429600000.0,31.071414158588592
2016,ME,all coal products,69823.09999999999,7200000.0,103.11773610739141
2016,ME,natural gas,3498339.52,73600000.0,21.038552598805506
2016,MI,all coal products,40526872.45,974200000.0,24.038371112942862
2016,MI,natural gas,29295153.86,682200000.0,23.28712807791343
2016,MI,petroleum,818978.89,24500000.0,29.91530099145779
2016,MN,all coal products,23206289.01,496900000.0,21.41229904470624
2016,MN,petroleum,32027.410000000003,4000000.0,124.89302132142436
2016,MO,all coal products,60321889.91,1164200000.0,19.299793188459137
2016,MO,natural gas,6031568.28,153500000.0,25.449434189278545
2016,MO,nuclear,9430179.0,87600000.0,9.289325260952099
2016,MO,petroleum,78015.86,9800000.0,125.61548382598103
2016,MS,all coal products,5342026.01,164400000.0,30.774840798650473
2016,MS,natural gas,50094738.67,1058200000.0,21.12397485434372
2016,MS,nuclear,5897272.0,30500000.0,5.171882863805502
2016,MS,petroleum,17785.28,1800000.0,101.20729052339914
2016,MT,petroleum,459922.71,13700000.0,29.78761366230426
2016,ND,natural gas,1071107.26,30500000.0,28.47520611521203
2016,ND,petroleum,30108.56,3200000.0,106.28206729249091
2016,NE,natural gas,537909.76,19200000.0,35.69371933314614
2016,NE,petroleum,-17939.89,1000000.0,
2016,NH,natural gas,4744436.0200000005,141600000.0,29.845486250228745
2016,NH,nuclear,10761163.0,79900000.0,7.424848039194277
2016,NJ,all coal products,1314541.06,56000000.0,42.60041903902187
2016,NJ,natural gas,43807453.14,719400000.0,16.42186314052404
2016,NJ,nuclear,29885187.0,215500000.0,7.210930284625624
2016,NJ,petroleum,146126.22999999998,3800000.0,26.00491369687701
2016,NM,all coal products,18365269.88,370600000.0,20.179393083876644
2016,NM,natural gas,9957552.879999999,249500000.0,25.056357019316177
2016,NM,petroleum,51682.71,6600000.0,127.70228186563746
2016,NV,all coal products,2166830.75,49100000.0,22.659822415756285
2016,NV,natural gas,28921611.61,633900000.0,21.91786573127278
2016,NV,petroleum,10985.189999999999,1500000.0,136.54747892389665
2016,NY,natural gas,56793336.13,1303900000.0,22.958679465762877
2016,NY,nuclear,41570990.0,299000000.0,7.19251574234821
2016,OK,natural gas,36529085.7,800500000.0,21.91404423790437
2016,OK,petroleum,17261.289999999997,2200000.0,127.45281494025072
2016,OR,all coal products,1898202.1199999999,43700000.0,23.021784424094946
2016,OR,natural gas,15306661.120000001,263000000.0,17.18206197538134
2016,OR,petroleum,4849.88,500000.0,103.09533431755013
2016,PA,natural gas,68048646.07000001,972200000.0,14.286838256854093
2016,SC,all coal products,21002913.540000003,681300000.0,32.43835664525618
2016,SC,natural gas,16366854.18,450200000.0,27.506813163285603
2016,SC,nuclear,55825916.0,399500000.0,7.156174562366339
2016,SC,petroleum,113861.87,10800000.0,94.85177083425734
2016,SD,natural gas,918561.39,19400000.0,21.11998197529291
2016,TN,all coal products,31167633.57,734800000.0,23.575739183075875
2016,TN,nuclear,29578086.0,219600000.0,7.4244154946334255
2016,TN,petroleum,121581.46,14200000.0,116.79412305132706
2016,TX,natural gas,225976260.25,4096000000.0,18.12579779605411
2016,TX,nuclear,42079445.0,312400000.0,7.424052289663041
2016,TX,petroleum,196421.94,9300000.0,47.347052981963216
2016,UT,all coal products,25939443.11,496500000.0,19.1407347449411
2016,UT,petroleum,31552.02,3700000.0,117.26665994760398
2016,VA,all coal products,16499412.359999998,508300000.0,30.80715778898201
2016,VA,natural gas,40904843.16,955100000.0,23.349313338376827
2016,VA,nuclear,29731895.0,202800000.0,6.820957762698947
2016,VT,natural gas,1965.43,0.0,0.0
2016,VT,petroleum,4016.7400000000002,400000.0,99.5832441233438
2016,WA,all coal products,4601726.29,115500000.0,25.09927638481949
2016,WA,natural gas,10982195.47,299900000.0,27.307836654267817
2016,WA,petroleum,22018.0,1700000.0,77.20955581796711
2016,WI,all coal products,33362840.56,747900000.0,22.4171559569387
2016,WI,natural gas,15472759.35,338000000.0,21.844843079007752
2016,WI,petroleum,147111.25,6700000.0,45.54376364825939
2016,WV,all coal products,71512960.99000001,1619700000.0,22.649041202845595
2016,WV,natural gas,1224566.66,26700000.0,21.80363133518595
2016,WV,petroleum,122668.76000000001,14200000.0,115.75889411452434
2016,WY,all coal products,40026873.9,712400000.0,17.79804242968872
2016,WY,natural gas,788142.62,14400000.0,18.270804844940375
2016,WY,petroleum,55635.57,4900000.0,88.07315176244262
2017,AK,all coal products,555706.78,28400000.0,51.106088718226545
2017,AK,natural gas,3234868.4899999998,204800000.0,63.31014711513049
2017,AK,petroleum,880682.36,81400000.0,92.42833023248019
2017,AL,all coal products,31440401.11,684100000.0,21.758628256889946
2017,AL,nuclear,42651973.0,331200000.0,7.765174192527975
2017,CA,natural gas,88350158.3,2259700000.0,25.57663781797661
2017,CO,all coal products,29242216.43,547000000.0,18.705832415590258
2017,CO,petroleum,7248.64,1500000.0,206.93536994525869
2017,DC,natural gas,19704.0,0.0,0.0
2017,DE,all coal products,358797.1,12900000.0,35.95346785132879
2017,DE,natural gas,6723188.390000001,123200000.0,18.324638973860434
2017,FL,all coal products,37512761.95,1158700000.0,30.88815485099198
2017,FL,natural gas,161104588.41,5091900000.0,31.606176150870812
2017,FL,nuclear,29146219.0,210500000.0,7.2222060775704735
2017,FL,petroleum,1462884.06,94500000.0,64.59842073882464
